CO,DIFF,FECHA,HOURNORAIN,NO,NO2,NOX,O3,PM10,PM25,PMCO,RH,SO2,Station_code,T2MMAX,T2MMEAN,T2MMIN,TMP,TPRECMAX,WDR,WSP,class_tmp,latitud,longitud,prev_CO,prev_NO2,prev_NOX,prev_O3,prev_PM10,prev_PM25,prev_PMCO,prev_SO2
8.4645833333,-2.23936,2016-02-03 00:00:00,18382.04883,6.5416666667,21.7083333333,28.0416666667,44.0833333333,30.4166666667,14.2916666667,16.25,31.2083333333,2.0416666667,AJM,25.51956,16.07314,9.22006,18.3125,0,145.8333333333,3.0541666667,1,19.2721,-99.2077,6.2625,16.2083333333,20.125,41.5,21.25,9.1666666667,12,3.0833333333
18.1193514054,-0.47407,2016-02-04 00:00:00,25757.62305,11.1348283377,38.663070575,49.6739017044,47.9691353002,76.9166666667,42.625,34.5,46.9583333333,19.3707180887,AJM,22.87396,14.42593,7.58535,14.9,2E-05,147.6666666667,2,2,19.2721,-99.2077,8.4645833333,21.7083333333,28.0416666667,44.0833333333,30.4166666667,14.2916666667,16.25,1.9583333333
15.5895833333,-1.1810966667,2016-02-05 00:00:00,9100.96973,14.9583333333,34.7916666667,49.7083333333,52.409979089,64.1666666667,33.7916666667,30.25,48.125,11.6666666667,AJM,24.0295,12.81057,4.07708,13.9916666667,3E-05,132.25,1.8666666667,2,19.2721,-99.2077,18.1193514054,38.663070575,49.6739017044,47.9691353002,76.9166666667,42.625,34.5,2.0416666667
14.9145833333,-0.7568333333,2016-02-06 00:00:00,12880.30664,4.7916666667,22.9166666667,27.875,56.0416666667,54.7916666667,25.5416666667,29.2083333333,38.5,15,AJM,22.86025,13.7015,5.59146,14.4583333333,0,250.1666666667,2.9416666667,2,19.2721,-99.2077,15.5895833333,34.7916666667,49.7083333333,52.409979089,64.1666666667,33.7916666667,30.25,19.3707180887
9.0645833333,-2.01026,2016-02-07 00:00:00,548.83026,5.4166666667,22.625,28,46.0833333333,35.7916666667,18.125,17.5416666667,20.375,5.4166666667,AJM,21.82668,11.30224,3.47854,13.3125,0,197.2083333333,1.8291666667,1,19.2721,-99.2077,14.9145833333,22.9166666667,27.875,56.0416666667,54.7916666667,25.5416666667,29.2083333333,11.6666666667
22.70625,-0.43226,2016-02-08 00:00:00,150.73999,11.5833333333,30.4583333333,41.9583333333,33.0416666667,73.0416666667,28.3333333333,44.6666666667,26.1666666667,12.0833333333,AJM,23.14974,12.63024,5.10073,13.0625,0,235.5416666667,2.8958333333,2,19.2721,-99.2077,9.0645833333,22.625,28,46.0833333333,35.7916666667,18.125,17.5416666667,15
13.7729166667,-0.69669,2016-02-09 00:00:00,2640.09595,7.9583333333,32.7916666667,40.5833333333,25.8333333333,55.625,28.8333333333,26.7916666667,54.4583333333,14.9583333333,AJM,17.89373,9.02831,3.11248,9.725,0,131.2916666667,1.8791666667,2,19.2721,-99.2077,22.70625,30.4583333333,41.9583333333,33.0416666667,73.0416666667,28.3333333333,44.6666666667,5.4166666667
14.7110180721,-0.8651766667,2016-02-10 00:00:00,0,15.5098283377,39.3714039083,54.7989017044,21.7191353002,63.5416666667,35.8333333333,27.7083333333,63.5416666667,15.8707180887,AJM,18.43484,9.25149,2.8099,10.1166666667,1E-05,103.4166666667,1.7083333333,2,19.2721,-99.2077,13.7729166667,32.7916666667,40.5833333333,25.8333333333,55.625,28.8333333333,26.7916666667,12.0833333333
12.6354166667,-1.4093733333,2016-02-11 00:00:00,11518.71484,14.375,33.3333333333,47.6666666667,36.1666666667,55.875,31.4583333333,24.4166666667,49.4583333333,14.8333333333,AJM,21.88485,10.53646,2.00973,11.9458333333,1E-05,148.2083333333,2.0375,2,19.2721,-99.2077,14.7110180721,39.3714039083,54.7989017044,21.7191353002,63.5416666667,35.8333333333,27.7083333333,14.9583333333
11.8125,-1.41842,2016-02-12 00:00:00,25221.9375,6.0416666667,21.5,27.625,41.0416666667,37.6666666667,14.7083333333,23.0833333333,34.4166666667,6.125,AJM,22.41665,11.65658,2.45333,13.075,0,196.7083333333,2.5458333333,2,19.2721,-99.2077,12.6354166667,33.3333333333,47.6666666667,36.1666666667,55.875,31.4583333333,24.4166666667,15.8707180887
11.91875,-1.68857,2016-02-13 00:00:00,8132.2749,6.9166666667,21.9166666667,28.75,38.125,41.625,18.5,23.25,34.9166666667,13.0833333333,AJM,21.25967,10.24893,1.20364,11.9375,0,187.125,2.1166666667,1,19.2721,-99.2077,11.8125,21.5,27.625,41.0416666667,37.6666666667,14.7083333333,23.0833333333,14.8333333333
12.7375,-2.40132,2016-02-14 00:00:00,3448.64941,4.7916666667,24.0416666667,28.8333333333,63.125,58.4583333333,33.5833333333,24.75,28.9583333333,12,AJM,23.84487,11.68618,2.87316,14.0875,0,147.9166666667,1.7833333333,1,19.2721,-99.2077,11.91875,21.9166666667,28.75,38.125,41.625,18.5,23.25,6.125
13.2604166667,-1.9949033333,2016-02-15 00:00:00,1662.31702,6.9583333333,29.2083333333,36.2083333333,56.9583333333,52.5833333333,26.875,25.75,25.875,8,AJM,23.98416,14.17593,6.96847,16.1708333333,0,188.0833333333,2.3791666667,1,19.2721,-99.2077,12.7375,24.0416666667,28.8333333333,63.125,58.4583333333,33.5833333333,24.75,13.0833333333
14.7026847387,-1.4944266667,2016-02-16 00:00:00,511.49902,5.4681616711,29.538070575,34.840568371,58.2608019668,55.4583333333,27.4166666667,27.9583333333,29.0416666667,4.5790514221,AJM,22.53301,14.39724,7.50887,15.8916666667,0,201.875,2.2958333333,2,19.2721,-99.2077,13.2604166667,29.2083333333,36.2083333333,56.9583333333,52.5833333333,26.875,25.75,12
12.76875,-1.8560533333,2016-02-17 00:00:00,24832.57617,3.2083333333,15.125,18.375,46.8333333333,35.5833333333,10.3333333333,25.2083333333,16.75,1.7083333333,AJM,25.11526,14.12728,5.03436,15.9833333333,0,207.5833333333,2.9791666667,1,19.2721,-99.2077,14.7026847387,29.538070575,34.840568371,58.2608019668,55.4583333333,27.4166666667,27.9583333333,8
13.9666666667,-1.84025,2016-02-18 00:00:00,37733.22266,6.375,30.3333333333,36.7916666667,60,58.7083333333,31.375,27.2916666667,24.0416666667,13.375,AJM,25.34207,12.84725,2.94222,14.6875,0,152.7916666667,1.8208333333,1,19.2721,-99.2077,12.76875,15.125,18.375,46.8333333333,35.5833333333,10.3333333333,25.2083333333,4.5790514221
